Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Satisfaction Score,Total Delay Time
1,1,0.513,1,0,0.188,1,3.0,1,0.925,4.0
1,1,0.397,1,1,0.115,8,0.0,0,0.425,8.0
0,1,0.603,1,0,0.627,0,0.0,1,0.614,0.0
1,1,0.641,0,1,0.044,0,4.0,0,0.457,4.0
0,1,0.077,0,1,0.22,0,0.0,0,0.55,0.0
1,0,0.167,1,1,0.062,0,0.0,1,0.725,0.0
1,1,0.487,1,0,0.147,23,94.0,0,0.386,117.0
1,1,0.564,1,0,0.467,0,0.0,1,0.561,0.0
0,0,0.231,1,0,0.054,0,0.0,1,0.45,0.0
1,1,0.41,0,1,0.197,168,163.0,0,0.679,331.0
1,1,0.5,1,0,0.111,18,16.0,1,0.721,34.0
0,1,0.59,1,1,0.066,0,0.0,0,0.382,0.0
1,1,0.692,0,1,0.239,0,0.0,1,0.607,0.0
1,1,0.692,1,2,0.071,96,102.0,1,0.764,198.0
0,1,0.115,0,1,0.516,45,42.0,0,0.761,87.0
1,1,0.474,1,0,0.58,0,1.0,0,0.346,1.0
1,1,0.128,1,0,0.634,16,0.0,1,0.807,16.0
1,1,0.551,1,1,0.251,35,49.0,0,0.371,84.0
1,0,0.423,1,0,0.16,0,4.0,1,0.825,4.0
0,1,0.513,1,0,0.439,6,0.0,1,0.682,6.0
1,1,0.936,1,0,0.693,0,0.0,1,0.593,0.0
1,1,0.397,0,1,0.107,0,0.0,1,0.679,0.0
0,1,0.308,0,1,0.075,0,0.0,1,0.679,0.0
0,1,0.667,1,0,0.236,0,15.0,0,0.646,15.0
1,1,0.192,1,0,0.391,0,0.0,0,0.696,0.0
1,1,0.59,1,0,0.511,0,3.0,1,0.771,3.0
1,1,0.628,1,2,0.056,0,0.0,1,0.682,0.0
1,1,0.526,0,1,0.067,0,0.0,0,0.743,0.0
0,0,0.397,1,0,0.309,2,25.0,0,0.611,27.0
0,1,0.731,0,1,0.02,13,9.0,0,0.357,22.0
0,1,0.769,0,1,0.113,0,0.0,0,0.704,0.0
1,1,0.705,1,0,0.739,0,0.0,1,0.561,0.0
0,1,0.641,1,0,0.369,16,15.0,1,0.639,31.0
1,0,0.256,1,1,0.193,24,32.0,0,0.293,56.0
1,0,0.231,1,1,0.201,13,11.0,0,0.561,24.0
1,1,0.577,1,1,0.179,85,72.0,0,0.521,157.0
1,1,0.487,1,2,0.11,0,0.0,1,0.607,0.0
1,0,0.205,1,1,0.079,6,13.0,0,0.421,19.0
0,1,0.615,1,1,0.28,1,0.0,1,0.764,1.0
0,1,0.59,1,0,0.289,0,0.0,0,0.586,0.0
1,1,0.026,0,1,0.138,11,4.0,1,0.6,15.0
0,1,0.333,1,0,0.103,86,85.0,1,0.664,171.0
0,0,0.731,1,0,0.053,3,0.0,0,0.65,3.0
1,0,0.013,1,1,0.416,26,23.0,0,0.618,49.0
0,1,0.346,0,1,0.206,34,15.0,0,0.643,49.0
0,1,0.667,0,1,0.503,0,2.0,0,0.511,2.0
1,1,0.077,1,0,0.507,0,0.0,0,0.575,0.0
0,1,0.474,0,1,0.026,0,0.0,0,0.575,0.0
0,1,0.603,1,0,0.345,0,0.0,1,0.607,0.0
0,1,0.372,1,0,0.529,10,0.0,1,0.85,10.0
1,1,0.051,0,1,0.147,102,88.0,0,0.782,190.0
1,1,0.321,0,1,0.203,12,9.0,0,0.761,21.0
0,1,0.449,1,1,0.516,0,0.0,0,0.414,0.0
1,0,0.256,1,1,0.212,4,0.0,0,0.386,4.0
0,1,0.333,0,1,0.124,1,0.0,0,0.539,1.0
1,1,0.269,1,0,0.056,0,0.0,0,0.393,0.0
0,1,0.474,0,1,0.04,0,0.0,1,0.529,0.0
0,0,0.538,1,1,0.348,33,28.0,0,0.668,61.0
0,1,0.667,1,0,0.433,5,0.0,1,0.718,5.0
0,0,0.167,1,0,0.048,0,0.0,1,0.336,0.0
1,1,0.5,1,0,0.301,0,0.0,1,0.707,0.0
0,1,0.372,1,1,0.059,0,0.0,1,0.807,0.0
1,1,0.705,1,0,0.643,19,16.0,1,0.693,35.0
0,1,0.667,1,0,0.295,15,14.0,1,0.593,29.0
1,1,0.282,0,1,0.061,0,0.0,0,0.625,0.0
1,0,0.436,1,0,0.069,35,30.0,0,0.304,65.0
0,1,0.0,0,1,0.141,0,0.0,0,0.575,0.0
1,1,0.744,0,0,0.246,40,44.0,0,0.675,84.0
0,1,0.551,1,0,0.522,0,9.0,1,0.586,9.0
1,1,0.167,1,1,0.186,57,41.0,0,0.525,98.0
1,1,0.654,1,0,0.498,0,0.0,1,0.786,0.0
1,1,0.487,0,2,0.104,14,20.0,0,0.482,34.0
0,1,0.5,0,2,0.365,0,0.0,0,0.704,0.0
1,1,0.462,1,0,0.746,19,7.0,1,0.804,26.0
0,0,0.244,1,0,0.05,0,6.0,0,0.386,6.0
0,1,0.436,1,2,0.123,0,0.0,1,0.736,0.0
1,1,0.551,0,1,0.092,0,0.0,0,0.771,0.0
0,1,0.397,0,0,0.244,6,0.0,0,0.768,6.0
1,0,0.397,1,1,0.208,0,0.0,0,0.479,0.0
1,1,0.615,1,0,0.539,0,3.0,1,0.575,3.0
1,1,0.538,1,0,0.131,51,71.0,1,0.511,122.0
0,0,0.333,1,0,0.079,0,5.0,0,0.757,5.0
1,1,0.641,1,0,0.966,0,19.0,1,0.836,19.0
1,1,0.359,1,0,0.768,0,3.0,1,0.739,3.0
1,1,0.423,1,0,0.511,0,0.0,1,0.832,0.0
1,0,0.385,1,2,0.069,0,0.0,0,0.575,0.0
1,1,0.577,0,1,0.454,17,79.0,0,0.614,96.0
0,1,0.436,1,1,0.168,0,0.0,1,0.446,0.0
1,1,0.09,0,1,0.128,243,251.0,0,0.446,494.0
1,1,0.321,1,0,0.147,0,0.0,1,0.725,0.0
0,1,0.051,0,1,0.466,152,151.0,0,0.464,303.0
0,1,0.064,0,1,0.185,0,0.0,0,0.396,0.0
0,1,0.436,1,1,0.15,0,0.0,1,0.654,0.0
1,0,0.487,1,0,0.198,0,0.0,0,0.718,0.0
0,0,0.179,1,1,0.046,0,1.0,0,0.564,1.0
1,1,0.308,1,1,0.027,0,0.0,0,0.446,0.0
0,1,0.397,1,1,0.027,17,17.0,1,0.768,34.0
0,1,0.423,1,0,0.454,19,38.0,1,0.893,57.0
0,1,0.077,0,1,0.113,0,0.0,1,0.854,0.0
1,1,0.474,1,0,0.316,0,5.0,1,0.518,5.0
1,1,0.756,1,0,0.451,0,0.0,0,0.707,0.0
1,1,0.295,1,2,0.158,0,0.0,1,0.775,0.0
0,1,0.474,0,1,0.201,2,0.0,0,0.564,2.0
1,1,0.59,1,0,0.655,0,0.0,1,0.657,0.0
1,1,0.385,1,0,0.512,0,12.0,1,0.764,12.0
1,1,0.41,0,1,0.173,38,30.0,0,0.589,68.0
0,0,0.282,1,0,0.197,0,0.0,0,0.629,0.0
0,1,0.397,1,1,0.034,42,65.0,0,0.804,107.0
0,1,0.667,1,0,0.316,0,0.0,1,0.782,0.0
0,1,0.154,0,1,0.17,57,65.0,0,0.564,122.0
1,1,0.41,1,0,0.276,16,4.0,1,0.846,20.0
0,1,0.192,0,1,0.225,0,10.0,0,0.721,10.0
0,1,0.551,0,2,0.051,18,10.0,1,0.596,28.0
0,1,0.192,1,1,0.211,47,62.0,1,0.564,109.0
0,1,0.628,1,0,0.787,0,1.0,1,0.832,1.0
0,1,0.41,0,1,0.096,0,0.0,0,0.775,0.0
0,1,0.282,0,1,0.059,0,0.0,1,0.8,0.0
0,1,0.449,1,0,0.681,8,0.0,1,0.889,8.0
0,1,0.628,1,0,0.476,33,21.0,1,0.696,54.0
0,1,0.256,1,0,0.033,0,1.0,1,0.561,1.0
1,0,0.179,1,1,0.19,0,0.0,0,0.682,0.0
1,1,0.449,1,0,0.067,0,17.0,1,0.693,17.0
1,1,0.526,1,0,0.314,60,68.0,1,0.621,128.0
0,1,0.59,1,0,0.521,0,0.0,1,0.786,0.0
1,1,0.731,0,1,0.125,0,0.0,0,0.646,0.0
1,1,0.538,0,1,0.063,0,0.0,0,0.704,0.0
1,1,0.538,1,0,0.322,0,4.0,1,0.936,4.0
0,1,0.205,0,2,0.067,0,0.0,0,0.675,0.0
0,1,0.551,1,0,0.703,0,29.0,0,0.561,29.0
0,1,0.564,0,2,0.181,0,0.0,0,0.571,0.0
0,1,0.346,1,0,0.734,0,0.0,1,0.861,0.0
1,1,0.538,1,0,0.233,33,40.0,1,0.514,73.0
1,1,0.628,1,1,0.015,11,4.0,1,0.689,15.0
0,1,0.5,1,0,0.041,24,24.0,1,0.632,48.0
0,1,0.231,0,1,0.189,0,0.0,0,0.554,0.0
1,1,0.782,0,2,0.183,0,0.0,0,0.768,0.0
1,1,0.038,0,1,0.308,91,93.0,0,0.421,184.0
1,1,0.474,1,1,0.039,0,0.0,1,0.575,0.0
0,1,0.692,0,0,0.131,2,0.0,0,0.539,2.0
1,1,0.141,0,2,0.123,13,1.0,0,0.475,14.0
1,1,0.654,1,0,0.613,0,0.0,1,0.504,0.0
1,1,0.654,1,0,0.748,52,41.0,0,0.339,93.0
0,1,0.731,0,1,0.201,12,5.0,0,0.743,17.0
0,1,0.756,0,0,0.132,0,0.0,0,0.636,0.0
1,0,0.179,1,0,0.054,19,12.0,1,0.75,31.0
0,1,0.41,1,0,0.062,5,0.0,1,0.846,5.0
0,1,0.551,1,0,0.269,238,232.0,1,0.521,470.0
1,1,0.462,1,2,0.032,13,11.0,0,0.364,24.0
0,1,0.436,1,0,0.321,7,0.0,1,0.7,7.0
0,1,0.5,1,1,0.105,4,0.0,1,0.671,4.0
0,1,0.436,1,0,0.32,2,6.0,1,0.843,8.0
1,1,0.308,1,1,0.124,0,0.0,0,0.686,0.0
1,1,0.59,0,1,0.075,21,13.0,0,0.825,34.0
1,1,0.41,1,0,0.721,0,0.0,1,0.575,0.0
1,1,0.59,1,0,0.122,150,156.0,1,0.596,306.0
0,1,0.231,1,1,0.124,13,4.0,1,0.839,17.0
1,0,0.167,1,1,0.058,23,14.0,0,0.604,37.0
0,0,0.5,1,1,0.376,0,0.0,0,0.561,0.0
0,1,0.038,0,1,0.117,0,0.0,0,0.486,0.0
1,1,0.513,1,0,0.521,0,0.0,1,0.789,0.0
0,1,0.321,0,1,0.268,4,0.0,0,0.714,4.0
1,1,0.09,0,1,0.042,3,12.0,0,0.611,15.0
1,1,0.115,1,0,0.487,0,0.0,1,0.65,0.0
1,1,0.59,0,1,0.186,0,0.0,0,0.432,0.0
0,1,0.615,1,0,0.579,2,0.0,1,0.682,2.0
1,1,0.269,1,0,0.304,0,0.0,1,0.771,0.0
1,1,0.538,0,1,0.034,3,0.0,0,0.529,3.0
0,1,0.603,0,2,0.153,0,0.0,0,0.493,0.0
1,1,0.808,0,1,0.103,0,0.0,0,0.814,0.0
1,0,0.231,1,1,0.152,9,19.0,0,0.461,28.0
1,1,0.526,1,0,0.186,0,0.0,1,0.564,0.0
0,1,0.0,0,1,0.107,0,0.0,0,0.579,0.0
0,1,0.41,1,1,0.016,0,5.0,0,0.557,5.0
0,1,0.923,1,1,0.077,1,0.0,0,0.311,1.0
1,0,0.269,1,0,0.095,0,0.0,0,0.829,0.0
0,1,0.436,1,0,0.194,37,38.0,1,0.771,75.0
1,0,0.256,1,2,0.234,0,32.0,0,0.389,32.0
1,1,0.667,1,0,0.573,0,1.0,1,0.925,1.0
1,1,0.179,0,1,0.075,71,117.0,0,0.739,188.0
0,1,0.526,1,1,0.08,0,0.0,1,0.825,0.0
0,1,0.59,1,1,0.215,0,0.0,0,0.621,0.0
1,1,0.449,1,0,0.319,12,0.0,0,0.411,12.0
1,0,0.526,1,1,0.258,52,27.0,0,0.382,79.0
0,1,0.667,0,1,0.185,0,0.0,1,0.418,0.0
1,1,0.59,1,0,0.762,0,0.0,1,0.757,0.0
0,1,0.218,0,1,0.019,47,94.0,0,0.414,141.0
0,1,0.628,0,1,0.08,35,29.0,0,0.471,64.0
1,1,0.449,1,0,0.6,5,14.0,1,0.929,19.0
1,0,0.218,1,1,0.288,0,0.0,0,0.557,0.0
0,1,0.269,1,0,0.162,0,0.0,1,0.429,0.0
1,1,0.128,0,1,0.376,0,0.0,0,0.3,0.0
0,1,0.308,1,2,0.153,0,0.0,0,0.532,0.0
0,1,0.679,1,0,0.449,2,0.0,1,0.754,2.0
0,0,0.41,1,0,0.083,12,16.0,1,0.604,28.0
1,1,0.513,1,1,0.099,40,26.0,1,0.671,66.0
0,1,0.679,1,1,0.051,20,16.0,0,0.604,36.0
0,1,0.077,1,0,0.303,0,0.0,1,0.832,0.0
0,0,0.282,1,0,0.216,51,51.0,0,0.393,102.0
1,1,0.487,1,0,0.515,0,0.0,1,0.925,0.0
0,1,0.474,1,0,0.249,0,0.0,1,0.668,0.0
1,1,0.551,1,1,0.016,0,11.0,1,0.65,11.0
1,1,0.244,0,1,0.048,100,93.0,0,0.786,193.0
1,1,0.256,1,0,0.555,2,0.0,1,0.814,2.0
0,1,0.115,1,0,0.572,2,0.0,1,0.693,2.0
1,0,0.218,1,1,0.18,0,0.0,0,0.696,0.0
0,0,0.346,1,0,0.077,2,0.0,0,0.539,2.0
1,1,0.295,1,0,0.429,0,0.0,1,0.679,0.0
0,1,0.551,1,1,0.468,0,0.0,1,0.65,0.0
0,0,0.179,1,1,0.352,0,0.0,0,0.725,0.0
0,1,0.692,0,1,0.156,0,0.0,0,0.5,0.0
1,1,0.321,1,0,0.033,0,0.0,0,0.586,0.0
1,1,0.192,0,2,0.183,0,0.0,0,0.468,0.0
0,1,0.5,1,0,0.206,0,0.0,0,0.479,0.0
1,0,0.103,1,1,0.068,3,8.0,0,0.568,11.0
1,1,0.282,0,1,0.077,7,14.0,0,0.443,21.0
1,1,0.064,0,1,0.069,89,88.0,0,0.871,177.0
0,0,0.551,1,0,0.123,7,17.0,0,0.461,24.0
0,1,0.603,1,1,0.1,0,0.0,0,0.407,0.0
0,1,0.795,0,1,0.193,6,3.0,0,0.636,9.0
0,1,0.397,0,1,0.18,0,0.0,0,0.486,0.0
1,0,0.231,1,2,0.166,0,0.0,0,0.539,0.0
0,1,0.244,1,1,0.065,108,99.0,0,0.657,207.0
1,1,0.59,1,0,0.537,0,0.0,1,0.707,0.0
0,1,0.513,1,0,0.367,62,55.0,1,0.693,117.0
0,1,0.449,1,0,0.494,0,0.0,1,0.696,0.0
0,0,0.154,1,1,0.087,141,121.0,0,0.757,262.0
0,1,0.718,0,1,0.119,10,11.0,0,0.682,21.0
0,0,0.141,1,1,0.101,0,0.0,0,0.704,0.0
0,1,0.577,0,1,0.019,0,0.0,0,0.539,0.0
0,1,0.679,1,2,0.289,0,3.0,0,0.589,3.0
0,1,0.397,1,0,0.469,24,0.0,1,0.639,24.0
0,1,0.436,1,1,0.009,0,0.0,1,0.561,0.0
0,1,0.436,1,0,0.511,0,0.0,1,0.571,0.0
1,0,0.103,1,1,0.193,0,6.0,0,0.571,6.0
1,1,0.538,1,1,0.347,132,117.0,0,0.468,249.0
0,1,0.141,0,1,0.154,91,71.0,1,0.764,162.0
1,1,0.41,1,1,0.04,0,0.0,1,0.85,0.0
1,1,0.231,1,0,0.372,0,0.0,0,0.454,0.0
0,0,0.269,1,0,0.058,0,0.0,1,0.839,0.0
1,1,0.385,1,0,0.513,0,0.0,1,0.846,0.0
1,1,0.308,0,1,0.046,87,75.0,0,0.618,162.0
