Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Satisfaction Score
0,1,1,0,1,0.1365105008077544,4,4,4,4,5,4,5,5,4,3,5,3,5,5,0.0,0.0,0,4.285714285714286
0,1,1,1,0,0.1052100161550888,5,5,5,5,4,4,4,4,2,1,2,1,1,4,0.0,0.0,1,3.357142857142857
0,1,1,1,2,0.2138529886914378,5,1,1,1,5,4,5,5,1,2,4,3,3,5,0.0,0.0,0,3.2142857142857144
1,1,2,0,1,0.1136914378029079,3,5,3,5,1,3,4,4,4,3,4,2,4,5,0.0,0.0,0,3.571428571428572
0,1,2,1,0,0.670032310177706,2,2,2,2,3,4,4,4,4,4,4,5,4,4,0.0,0.0,1,3.4285714285714284
1,1,2,1,0,0.3758077544426494,2,2,2,2,2,3,2,4,4,4,4,1,4,4,0.0035460992907801,0.0053811659192825,1,2.857142857142857
0,1,3,0,1,0.1159127625201938,2,4,2,4,2,2,2,2,4,2,5,5,5,2,0.0,0.0,0,3.071428571428572
0,1,2,1,0,0.2845315024232633,1,1,1,1,5,4,5,5,5,5,5,3,5,3,0.0,0.000896860986547,1,3.5
1,1,3,1,0,0.0129240710823909,1,1,1,1,1,4,3,3,3,3,1,4,3,4,0.0124113475177304,0.0098654708520179,0,2.357142857142857
0,1,2,1,1,0.0323101777059773,3,5,5,5,3,3,3,3,1,3,2,1,2,3,0.0363475177304964,0.032286995515695,0,3.0
1,1,1,1,0,0.2221324717285945,1,1,1,1,3,3,3,1,1,1,1,3,1,4,0.0124113475177304,0.0,0,1.7857142857142858
1,1,1,0,0,0.1843699515347334,2,1,2,3,1,2,1,1,4,4,4,1,4,1,0.0,0.0,0,2.2142857142857144
1,1,0,0,1,0.1284329563812601,2,5,3,4,5,3,4,5,4,3,5,3,4,5,0.0310283687943262,0.0313901345291479,0,3.928571428571429
0,1,3,1,0,0.0210016155088853,2,2,2,2,3,5,5,4,4,4,4,5,4,3,0.0,0.000896860986547,1,3.5
0,1,2,0,1,0.186389337641357,4,0,4,4,1,4,1,1,3,1,4,4,2,1,0.0,0.0,0,2.4285714285714284
0,0,1,1,1,0.1126817447495961,2,1,3,3,4,3,4,4,3,5,4,3,3,4,0.0,0.0,0,3.2857142857142856
0,1,2,1,0,0.4390145395799676,3,3,3,3,3,5,4,4,4,5,4,5,4,5,0.0,0.0,1,3.928571428571429
0,0,1,1,1,0.1173263327948303,4,3,4,4,3,4,3,3,4,5,4,3,3,3,0.0,0.0,0,3.571428571428572
0,1,2,1,0,0.1231825525040387,1,1,1,1,3,4,4,5,5,5,5,5,5,4,0.0310283687943262,0.0179372197309417,1,3.5
1,0,1,1,1,0.2140549273021001,2,2,2,2,2,2,2,2,4,4,4,2,1,2,0.0,0.0,0,2.357142857142857
0,1,1,1,0,0.1393376413570274,3,3,3,3,2,2,2,2,1,2,1,4,3,2,0.0,0.0,1,2.357142857142857
1,0,0,1,1,0.0680533117932148,1,2,1,3,2,1,2,2,4,4,3,4,4,2,0.0141843971631205,0.0053811659192825,0,2.5
0,0,1,1,1,0.2431340872374798,5,5,5,1,4,5,4,4,4,3,4,3,5,4,0.0,0.0,1,4.0
1,1,2,0,0,0.0890549273021001,3,5,2,1,2,5,3,5,5,2,5,3,5,4,0.0,0.0,0,3.571428571428572
0,1,1,1,0,0.7932148626817448,2,4,4,4,2,2,2,2,2,3,4,4,4,2,0.0132978723404255,0.0098654708520179,0,2.9285714285714284
1,1,2,1,0,0.0474555735056542,4,4,4,4,1,3,2,5,5,5,5,5,5,5,0.0,0.0,1,4.071428571428571
0,1,3,0,1,0.1924474959612278,4,4,4,1,4,4,5,4,5,3,4,4,4,4,0.0062056737588652,0.0,0,3.857142857142857
0,1,2,0,1,0.479200323101777,2,3,2,3,5,2,5,5,2,1,4,4,4,5,0.0,0.0,0,3.357142857142857
1,1,2,1,0,0.2096122778675282,2,2,2,2,2,4,4,5,5,5,5,3,5,3,0.0053191489361702,0.0,1,3.5
1,1,1,0,1,0.3008885298869144,1,4,1,3,1,1,1,1,1,3,3,2,4,1,0.0,0.0,0,1.9285714285714288
0,1,0,0,1,0.0977382875605815,3,5,3,5,3,3,2,3,4,4,4,3,4,3,0.0,0.0,0,3.5
1,1,1,1,0,0.4666801292407108,2,4,4,4,2,2,2,2,2,4,4,4,4,2,0.0141843971631205,0.0053811659192825,0,3.0
0,1,3,0,2,0.2005250403877221,2,5,2,1,4,2,4,4,5,4,2,5,3,4,0.0,0.0,0,3.357142857142857
1,1,1,0,1,0.3566235864297253,2,5,2,2,1,2,1,1,5,3,3,4,5,1,0.0132978723404255,0.000896860986547,0,2.642857142857143
1,1,1,1,0,0.4642568659127625,2,4,4,4,2,2,2,2,2,2,2,2,2,3,0.00177304964539,0.0,0,2.5
0,0,1,1,0,0.1940630048465266,2,2,2,4,3,2,3,3,3,2,4,3,3,3,0.0,0.0,0,2.7857142857142856
0,0,1,1,0,0.1147011308562197,2,5,2,5,2,2,2,2,3,3,5,3,5,2,0.0,0.0,0,3.071428571428572
0,1,2,1,0,0.7932148626817448,5,5,5,5,3,5,4,4,4,4,4,3,4,4,0.0,0.0,1,4.214285714285714
1,0,2,1,0,0.0848142164781906,4,3,3,4,2,4,2,2,4,4,4,5,5,2,0.0177304964539007,0.0071748878923766,0,3.4285714285714284
1,0,1,1,1,0.0811793214862681,5,0,5,1,5,5,2,5,1,5,3,5,4,5,0.0718085106382978,0.063677130044843,1,3.642857142857143
0,1,1,0,1,0.4107431340872375,4,1,4,2,4,4,4,4,4,1,2,1,3,4,0.0,0.0,0,3.0
1,1,1,1,1,0.0415993537964458,3,3,3,3,5,5,5,5,5,4,1,5,4,5,0.0,0.0,1,4.0
0,1,0,0,1,0.0672455573505654,0,5,0,4,5,0,5,5,5,3,5,5,4,5,0.0,0.0,1,3.642857142857143
1,1,2,1,0,0.2994749596122779,3,3,3,3,2,4,5,5,5,5,5,4,5,5,0.0,0.0,1,4.071428571428571
0,1,2,0,1,0.0141357027463651,2,5,0,5,3,0,3,3,3,5,5,3,5,3,0.0,0.0,0,3.2142857142857144
1,0,0,1,1,0.0617932148626817,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0.0,0.0,1,3.7142857142857135
0,1,1,1,0,0.0141357027463651,3,5,5,5,2,3,3,2,2,2,3,3,2,1,0.0053191489361702,0.010762331838565,0,2.9285714285714284
0,1,1,1,0,0.0684571890145396,1,1,1,1,4,4,4,4,5,2,4,4,1,4,0.0,0.0,1,2.857142857142857
0,1,2,1,0,0.0807754442649434,3,3,3,3,5,5,4,3,3,4,3,4,3,4,0.0,0.0,1,3.571428571428572
1,1,0,1,0,0.1126817447495961,2,1,1,1,2,3,2,2,3,4,4,4,3,2,0.0691489361702127,0.0905829596412556,0,2.4285714285714284
1,1,1,1,0,0.6449919224555736,3,2,2,2,3,3,3,3,4,4,3,3,3,3,0.0,0.0,0,2.9285714285714284
1,1,1,0,1,0.0260500807754442,3,3,3,4,5,3,1,5,2,5,4,1,4,5,0.0301418439716312,0.0197309417040358,0,3.4285714285714284
1,0,1,1,1,0.1181340872374798,5,0,5,2,4,5,4,4,5,2,4,4,5,4,0.0,0.0044843049327354,1,3.7857142857142856
1,1,0,0,1,0.0420032310177706,4,4,4,3,3,4,3,3,1,1,3,2,4,3,0.0,0.0,0,3.0
1,0,1,1,0,0.351373182552504,3,3,3,3,3,3,3,3,4,4,5,4,4,3,0.0132978723404255,0.0,0,3.4285714285714284
0,1,2,1,0,0.3673263327948303,3,3,3,3,4,4,5,2,2,2,2,3,2,4,0.0,0.000896860986547,1,3.0
0,1,2,1,0,0.3578352180936995,1,1,1,1,3,5,4,1,1,2,1,5,1,5,0.0044326241134751,0.0,1,2.2857142857142856
0,1,3,1,0,0.0882471728594507,1,3,3,3,4,3,3,1,1,1,1,4,1,3,0.0398936170212766,0.0295964125560538,0,2.2857142857142856
1,1,1,1,0,0.090670436187399,5,5,5,5,4,4,5,4,4,4,4,5,4,5,0.0,0.0,1,4.5
0,1,2,0,1,0.0761308562197092,4,5,2,1,3,2,3,3,3,1,2,4,5,3,0.0,0.0,1,2.9285714285714284
0,1,1,1,0,0.425686591276252,2,1,3,1,2,2,2,2,1,3,3,4,4,2,0.0097517730496453,0.0251121076233183,0,2.2857142857142856
1,1,1,1,0,0.4935379644588045,4,4,4,4,2,2,2,4,2,4,5,2,3,2,0.0,0.0,1,3.142857142857143
0,1,2,1,0,0.6254038772213247,5,5,5,5,4,5,5,5,5,5,5,4,5,4,0.0168439716312056,0.0269058295964125,1,4.785714285714286
0,1,1,1,0,0.2655492730210016,5,1,5,5,5,4,4,4,4,4,4,4,4,5,0.0,0.0116591928251121,1,4.142857142857143
1,1,2,1,0,0.1720516962843295,5,2,2,2,1,3,4,5,5,4,5,3,5,2,0.0,0.0,0,3.4285714285714284
1,1,2,1,0,0.0656300484652665,3,3,3,3,3,4,3,3,3,4,3,3,3,3,0.00177304964539,0.0089686098654708,0,3.142857142857143
1,1,1,0,1,0.0157512116316639,1,2,1,2,5,1,4,5,1,1,3,1,3,5,0.0310283687943262,0.0493273542600896,0,2.5
1,1,1,1,2,0.0617932148626817,2,1,1,1,2,2,1,2,2,5,4,2,3,2,0.0,0.0,0,2.142857142857143
0,1,1,0,2,0.132875605815832,2,5,2,1,5,2,5,5,2,5,2,4,2,5,0.0053191489361702,0.0,0,3.357142857142857
1,0,1,1,0,0.0422051696284329,5,5,5,3,2,5,2,2,3,4,5,3,4,2,0.0141843971631205,0.0080717488789237,1,3.571428571428572
1,1,3,0,1,0.138529886914378,2,4,2,5,3,4,5,4,4,2,4,4,4,3,0.0,0.0,0,3.571428571428572
1,1,1,1,0,0.6940630048465267,3,5,5,5,3,2,3,3,1,1,3,3,4,3,0.0035460992907801,0.0080717488789237,0,3.142857142857143
1,0,1,1,1,0.2485864297253635,3,3,3,3,2,3,2,2,5,2,4,4,5,2,0.0,0.0,0,3.071428571428572
0,1,1,1,0,0.0387722132471728,1,3,1,1,2,4,5,5,5,5,5,5,5,5,0.0,0.0,1,3.7142857142857135
